[NanoDet][08-25 19:47:19]INFO: Setting up data...
[NanoDet][08-25 19:47:19]INFO: Creating model...
[NanoDet][08-25 19:47:19]INFO: 使用 CPU 进行训练
[NanoDet][08-25 19:49:28]INFO: Train|Epoch9/300|Iter850(51)| mem:0G| lr:5.95e-02| loss_qfl:0.6028| loss_bbox:1.0810| loss_dfl:0.3863| aux_loss_qfl:0.4286| aux_loss_bbox:1.1977| aux_loss_dfl:0.4055| loss_feat_kd:20.0059| loss_cls_kd:0.0000| loss_reg_kd:0.1165| 
[NanoDet][08-25 19:49:35]INFO: Train|Epoch10/300|Iter900(1)| mem:0G| lr:6.30e-02| loss_qfl:1.0640| loss_bbox:0.8001| loss_dfl:0.3806| aux_loss_qfl:0.5259| aux_loss_bbox:1.0899| aux_loss_dfl:0.4045| loss_feat_kd:14.7230| loss_cls_kd:0.0000| loss_reg_kd:0.1189| 
[NanoDet][08-25 19:49:41]INFO: Train|Epoch10/300|Iter950(51)| mem:0G| lr:6.65e-02| loss_qfl:1.0083| loss_bbox:0.8831| loss_dfl:0.3845| aux_loss_qfl:0.7055| aux_loss_bbox:1.0626| aux_loss_dfl:0.4079| loss_feat_kd:13.1357| loss_cls_kd:0.0000| loss_reg_kd:0.1040| 
[NanoDet][08-25 19:49:49]INFO: Val|Epoch10/300|Iter1000(1/13)| mem:0G| lr:6.99e-02| loss_qfl:1.2025| loss_bbox:0.7650| loss_dfl:0.3845| aux_loss_qfl:0.4662| aux_loss_bbox:1.1159| aux_loss_dfl:0.4099| 
[NanoDet][08-25 19:49:50]INFO: Saving model to workspace/nanodet_m_100kb_AUX_kvasir\model_best\nanodet_model_best.pth
[NanoDet][08-25 19:49:50]INFO: Val_metrics: {'mAP': 0, 'AP_50': 0, 'AP_75': 0, 'AP_small': 0, 'AP_m': 0, 'AP_l': 0}
[NanoDet][08-25 19:49:50]INFO: Train|Epoch11/300|Iter1000(1)| mem:0G| lr:7.00e-02| loss_qfl:0.8322| loss_bbox:0.9539| loss_dfl:0.3755| aux_loss_qfl:0.6182| aux_loss_bbox:1.1078| aux_loss_dfl:0.4045| loss_feat_kd:17.1821| loss_cls_kd:0.0000| loss_reg_kd:0.1001| 
[NanoDet][08-25 19:49:58]INFO: Train|Epoch11/300|Iter1050(51)| mem:0G| lr:7.00e-02| loss_qfl:0.6705| loss_bbox:1.0374| loss_dfl:0.3646| aux_loss_qfl:0.3712| aux_loss_bbox:1.2818| aux_loss_dfl:0.4039| loss_feat_kd:25.7645| loss_cls_kd:0.0000| loss_reg_kd:0.1240| 
[NanoDet][08-25 19:50:04]INFO: Train|Epoch12/300|Iter1100(1)| mem:0G| lr:7.00e-02| loss_qfl:1.1142| loss_bbox:0.7783| loss_dfl:0.3866| aux_loss_qfl:0.6376| aux_loss_bbox:1.0337| aux_loss_dfl:0.4048| loss_feat_kd:15.2638| loss_cls_kd:0.0000| loss_reg_kd:0.1136| 
[NanoDet][08-25 19:50:12]INFO: Train|Epoch12/300|Iter1150(51)| mem:0G| lr:7.00e-02| loss_qfl:1.0473| loss_bbox:0.8324| loss_dfl:0.3675| aux_loss_qfl:0.4430| aux_loss_bbox:1.1708| aux_loss_dfl:0.4041| loss_feat_kd:20.5150| loss_cls_kd:0.0000| loss_reg_kd:0.1146| 
